id,campaign_id,campaign_name,channel,date,impressions,clicks,conversions,spend_usd,revenue_usd,ctr,cpc,cpl,conversion_rate,roas,bounce_rate,ad_quality,audience_age_group,audience_device,region,ad_format,objective,budget_type
1,1001,Campaign_1,Organic Search,2023-05-16,36953,4526,274,1796.39,4945.99,0.1225,0.40,6.56,0.0605,2.75,0.8775,2,25-34,Mobile,North America,Carousel,Awareness,Daily
2,1002,Campaign_2,Email,2024-06-29,2806,601,123,2757.84,2925.47,0.2142,4.59,22.42,0.2047,1.06,0.7858,2,45-54,Mobile,LATAM,Carousel,Consideration,Daily
3,1003,Campaign_3,LinkedIn,2023-05-22,6664,344,85,2687.78,1555.70,0.0516,7.81,31.62,0.2471,0.58,0.9484,4,55+,Mobile,North America,Video,Awareness,Lifetime
4,1004,Campaign_4,Email,2023-06-09,29900,1193,69,225.74,357.46,0.0399,0.19,3.27,0.0578,1.58,0.9601,3,25-34,Desktop,Europe,Carousel,Awareness,Daily
5,1005,Campaign_5,Email,2024-04-11,15126,505,46,4756.66,10755.19,0.0334,9.42,103.41,0.0911,2.26,0.9666,2,18-24,Tablet,LATAM,Image,Conversion,Daily
6,1006,Campaign_6,Google Ads,2023-07-25,46662,1603,198,1413.11,2312.07,0.0344,0.88,7.14,0.1235,1.64,0.9656,4,55+,Tablet,North America,Carousel,Conversion,Lifetime
7,1007,Campaign_7,LinkedIn,2024-05-06,6154,218,363,130.11,214.67,0.0354,0.60,0.36,1.6651,1.65,0.9646,3,25-34,Tablet,North America,Text,Awareness,Daily
8,1008,Campaign_8,LinkedIn,2024-09-18,23208,4855,431,428.40,931.56,0.2092,0.09,0.99,0.0888,2.17,0.7908,2,25-34,Mobile,Europe,Carousel,Awareness,Lifetime
9,1009,Campaign_9,LinkedIn,2024-08-04,14767,1996,200,2921.96,3319.26,0.1352,1.46,14.61,0.1002,1.14,0.8648,4,55+,Tablet,Asia-Pacific,Video,Conversion,Daily
10,1010,Campaign_10,Email,2024-09-23,21043,303,275,732.04,1742.05,0.0144,2.42,2.66,0.9076,2.38,0.9856,3,25-34,Desktop,LATAM,Image,Consideration,Daily
11,1011,Campaign_11,Organic Search,2024-08-09,48994,2426,36,256.54,226.47,0.0495,0.11,7.13,0.0148,0.88,0.9505,4,55+,Tablet,North America,Text,Awareness,Lifetime
12,1012,Campaign_12,LinkedIn,2024-10-27,2525,1370,202,1929.15,2873.23,0.5426,1.41,9.55,0.1474,1.49,0.4574,2,25-34,Tablet,Europe,Text,Consideration,Daily
